Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
1 /escm/login/auth,10,545,119,1644,1644,1945,99,1945,0.00%,1.2,5.9
4 /escmnull/css/merchant.css,10,6,3,11,11,19,2,19,100.00%,1.5,.2
5 /escm/css/logintypedialog.css,10,31,10,70,70,75,7,75,0.00%,1.5,1.9
3 /escm/css/theme/jquery-ui-1.8.17.custom.css,10,73,16,94,94,410,13,410,0.00%,1.5,9.8
9 /escm/css/jquery.ui.timepicker.css,10,17,8,39,39,54,5,54,0.00%,1.5,3.1
2 /escm/css/merchant.css,10,169,106,263,263,546,73,546,0.00%,1.5,95.1
6 /escm/css/jquery.alerts.css,10,17,9,38,38,46,7,46,0.00%,1.6,1.9
10 /escm/js/validator.js,10,56,12,114,114,286,11,286,0.00%,1.6,8.0
7 /escm/js/jquery-1.5.2.min.js,10,114,102,159,159,223,73,223,0.00%,1.6,99.8
8 /escm/js/jquery-ui-1.8.17.custom.min.js,10,96,69,117,117,298,48,298,0.00%,1.6,83.2
12 /escm/js/jquery.bpopup.min.js,10,20,9,41,41,81,8,81,0.00%,1.7,3.7
11 /escm/js/jquery.alerts.js,10,13,10,17,17,40,7,40,0.00%,1.7,4.3
13 /escm/css/modern_ui/images/footer.png,10,10,7,19,19,26,6,26,0.00%,1.7,5.4
15 /escm/images/add.jpg,10,10,7,7,7,46,6,46,0.00%,1.7,48.0
14 /escm/images/logo.png,10,11,6,10,10,52,5,52,0.00%,1.7,13.6
LoginPageRequest,10,1194,513,2858,2858,3174,394,3174,100.00%,1.0,252.4
16 /escm/login/doAuth?id=loginform,10,152832,152369,155986,155986,159342,148721,159342,0.00%,.1,.9
23 /escm/js/usageGraphJS/jqplot.canvasAxisLabelRenderer.min.js,10,26,10,28,28,140,5,140,0.00%,.9,1.2
22 /escm/css/modern_ui/jquery.multiselect.css,10,12,7,28,28,36,5,36,0.00%,.9,2.1
21 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,10,26,10,62,62,65,5,65,0.00%,.9,1.2
29 /escm/css/modern_ui/js/jquery.blockUI.js,10,27,14,50,50,76,8,76,0.00%,.9,5.7
25 /escm/css/modern_ui/jquery.alerts.css,10,12,8,18,18,36,6,36,0.00%,1.0,1.1
27 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,10,28,11,54,54,122,6,122,0.00%,1.0,1.7
26 /escm/css/modern_ui/js/jquery.tablesorter.js,10,44,14,95,95,126,11,126,0.00%,1.0,8.1
24 /escm/css/modern_ui/tablesorter.css,10,19,9,36,36,64,5,64,0.00%,1.0,2.2
58 /escm/js/jquery.scrollToTop.min.js,10,34,12,63,63,161,4,161,0.00%,1.0,.7
51 /escm/js/usageGraphJS/jqplot.highlighter.min.js,10,45,14,26,26,320,6,320,0.00%,1.0,2.4
