"(PDH-CSV 4.0) (India Standard Time)(-330)","\\EASAPP01\Processor(_Total)\% Processor Time","\\EASAPP01\System\Processor Queue Length"
"02/22/2017 16:21:27.426"," ","0"
"02/22/2017 16:21:30.429","3.4849976289463735","0"
"02/22/2017 16:21:33.439","9.8081131123825003","0"
"02/22/2017 16:21:36.445","2.9051277090774819","0"
"02/22/2017 16:21:39.450","0.45375869473779362","0"
"02/22/2017 16:21:42.451","41.669404315957436","0"
"02/22/2017 16:21:45.459","65.975861898843036","0"
"02/22/2017 16:21:48.464","19.667833427345716","0"
"02/22/2017 16:21:51.478","12.277315308284786","1"
"02/22/2017 16:21:54.493","14.106813992652079","0"
"02/22/2017 16:21:57.496","16.73941976167891","0"
"02/22/2017 16:22:00.506","16.172475641081352","2"
"02/22/2017 16:22:03.591","54.157523025830258","1"
"02/22/2017 16:22:06.700","95.100501219666256","15"
"02/22/2017 16:22:09.903","91.463410103507414","1"
"02/22/2017 16:22:12.935","97.68041198852157","4"
"02/22/2017 16:22:16.388","98.981902961853194","10"
"02/22/2017 16:22:19.778","100","11"
"02/22/2017 16:22:25.325","100","13"
"02/22/2017 16:22:28.388","100","8"
"02/22/2017 16:22:32.935","100","36"
"02/22/2017 16:22:36.091","78.589093759425751","9"
"02/22/2017 16:22:39.153","79.719380116614573","1"
"02/22/2017 16:22:42.200","61.025652538063667","2"
"02/22/2017 16:22:46.403","99.721188441287595","31"
"02/22/2017 16:22:49.857","99.886879302225253","28"
"02/22/2017 16:22:53.403","99.559470881250803","0"
"02/22/2017 16:22:56.700","100","6"
"02/22/2017 16:23:01.185","99.825783987665261","7"
"02/22/2017 16:23:05.122","100","1"
"02/22/2017 16:23:10.716","100","22"
"02/22/2017 16:23:15.060","100","15"
"02/22/2017 16:23:18.935","100","18"
"02/22/2017 16:23:23.419","100","32"
"02/22/2017 16:23:29.919","100","35"
"02/22/2017 16:23:36.404","100","15"
"02/22/2017 16:23:39.638","100","0"
"02/22/2017 16:23:42.685","100","0"
"02/22/2017 16:23:46.513","99.387754622240351","27"
"02/22/2017 16:23:50.716","100","13"
"02/22/2017 16:23:55.107","100","30"
"02/22/2017 16:23:59.091","99.69008120756726","11"
"02/22/2017 16:24:04.185","100","3"
"02/22/2017 16:24:07.200","100","13"
"02/22/2017 16:24:10.607","99.655964609040254","24"
"02/22/2017 16:24:13.763","100","6"
"02/22/2017 16:24:16.950","100","3"
"02/22/2017 16:24:20.388","99.431816363635193","0"
"02/22/2017 16:24:23.403","98.056994865902482","5"
"02/22/2017 16:24:26.403","96.875001562499222","7"
"02/22/2017 16:24:29.403","95.96354322916541","5"
"02/22/2017 16:24:32.419","94.689112903961231","3"
"02/22/2017 16:24:35.435","93.911919276220814","3"
"02/22/2017 16:24:38.450","95.077720044028027","2"
"02/22/2017 16:24:41.466","93.264249374748246","1"
"02/22/2017 16:24:44.482","93.005173460755159","1"
"02/22/2017 16:24:47.482","94.270838489578693","3"
"02/22/2017 16:24:50.482","92.447917421874919","5"
"02/22/2017 16:24:53.482","94.270833524305559","2"
"02/22/2017 16:24:56.482","93.75000583332789","8"
"02/22/2017 16:24:59.497","93.911914113128276","3"
"02/22/2017 16:25:02.622","92.00000947198879","2"
"02/22/2017 16:25:05.653","90.721640301829581","3"
"02/22/2017 16:25:08.653","93.880210134547596","1"
"02/22/2017 16:25:11.669","95.07771465756845","0"
"02/22/2017 16:25:14.685","94.300515488736721","2"
"02/22/2017 16:25:17.685","94.661474591969451","5"
"02/22/2017 16:25:20.700","93.264252948532857","5"
"02/22/2017 16:25:23.716","93.134695155253468","3"
"02/22/2017 16:25:26.716","93.750002708332161","3"
"02/22/2017 16:25:29.732","95.725386573597547","2"
"02/22/2017 16:25:32.732","89.192707387152836","5"
"02/22/2017 16:25:35.732","94.401044079860782","5"
"02/22/2017 16:25:38.732","94.661458268229183","2"
"02/22/2017 16:25:41.732","94.661461067707791","4"
"02/22/2017 16:25:44.747","94.43005034014341","3"
"02/22/2017 16:25:47.763","93.134713724394729","2"
"02/22/2017 16:25:50.778","92.746114951810668","2"
"02/22/2017 16:25:53.794","94.170982411339764","3"
"02/22/2017 16:25:56.810","94.430054395016882","2"
"02/22/2017 16:25:59.825","92.357509267898834","3"
"02/22/2017 16:26:02.825","88.020840520829026","5"
"02/22/2017 16:26:05.841","90.414502368382685","4"
"02/22/2017 16:26:08.841","90.62500468749765","4"
"02/22/2017 16:26:11.857","92.875641057738846","0"
"02/22/2017 16:26:14.857","93.489589192703065","2"
"02/22/2017 16:26:17.857","93.098963107634432","4"
"02/22/2017 16:26:20.872","93.393783603318298","4"
"02/22/2017 16:26:23.888","94.17097680581243","2"
"02/22/2017 16:26:26.950","89.923466084962982","3"
"02/22/2017 16:26:29.982","92.654639706663673","6"
"02/22/2017 16:26:32.997","90.932636172778771","2"
"02/22/2017 16:26:35.997","94.9218781901032","1"
"02/22/2017 16:26:38.997","92.838762237078569","3"
"02/22/2017 16:26:42.013","94.041271360808977","3"
"02/22/2017 16:26:45.028","93.264239546821017","3"
"02/22/2017 16:26:48.028","90.234395546835273","3"
"02/22/2017 16:26:51.029","94.01068578651865","2"
"02/22/2017 16:26:54.060","96.649332657585859","5"
"02/22/2017 16:26:57.060","97.135421059021041","3"
"02/22/2017 16:27:00.075","92.22814009170844","0"
"02/22/2017 16:27:03.076","93.491488157799154","2"
"02/22/2017 16:27:06.091","96.242344378684024","4"
"02/22/2017 16:27:09.122","98.453607737272648","4"
"02/22/2017 16:27:12.185","98.214288979585859","5"
"02/22/2017 16:27:15.841","100","0"
"02/22/2017 16:27:19.044","99.024393228783254","0"
"02/22/2017 16:27:22.060","97.279785473948579","14"
"02/22/2017 16:27:25.410","73.532900247595109","0"
"02/22/2017 16:27:28.424","0.85790977578412697","0"
"02/22/2017 16:27:31.429","2.114871981708355","2"
