"(PDH-CSV 4.0) (India Standard Time)(-330)","\\EASAPP01\System\Processor Queue Length"
"02/20/2017 12:28:11.207","0"
"02/20/2017 12:28:14.210","0"
"02/20/2017 12:28:17.226","0"
"02/20/2017 12:28:20.226","0"
"02/20/2017 12:28:23.231","3"
"02/20/2017 12:28:26.233","1"
"02/20/2017 12:28:29.233","6"
"02/20/2017 12:28:32.373","12"
"02/20/2017 12:28:35.952","10"
"02/20/2017 12:28:39.014","1"
"02/20/2017 12:28:42.123","0"
"02/20/2017 12:28:45.670","12"
"02/20/2017 12:28:50.623","10"
"02/20/2017 12:28:54.670","9"
"02/20/2017 12:28:58.030","12"
"02/20/2017 12:29:01.811","2"
"02/20/2017 12:29:04.842","5"
"02/20/2017 12:29:07.873","3"
"02/20/2017 12:29:10.873","7"
"02/20/2017 12:29:13.889","2"
"02/20/2017 12:29:16.905","4"
"02/20/2017 12:29:19.905","7"
"02/20/2017 12:29:22.920","5"
"02/20/2017 12:29:25.936","4"
"02/20/2017 12:29:28.952","2"
"02/20/2017 12:29:31.952","7"
"02/20/2017 12:29:34.967","0"
"02/20/2017 12:29:38.061","9"
"02/20/2017 12:29:41.233","18"
"02/20/2017 12:29:44.405","11"
"02/20/2017 12:29:47.420","5"
"02/20/2017 12:29:50.436","1"
"02/20/2017 12:29:53.443","0"
"02/20/2017 12:29:56.443","0"
"02/20/2017 12:29:59.458","1"
"02/20/2017 12:30:02.474","1"
