timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
2017/02/07 18:20:13.727,3460,62 /escm/login/auth,200,OK,Thread Group 1-1,text,true,5226,5,5,http://10.10.3.16:8080/escm/login/auth,,3454,EASDB01
2017/02/07 18:20:13.727,2219,62 /escm/login/auth,200,OK,Thread Group 1-3,text,true,5226,5,5,http://10.10.3.16:8080/escm/login/auth,,2217,EASDB01
2017/02/07 18:20:13.727,1136,62 /escm/login/auth,200,OK,Thread Group 1-4,text,true,5226,5,5,http://10.10.3.16:8080/escm/login/auth,,1134,EASDB01
2017/02/07 18:20:13.727,3247,62 /escm/login/auth,200,OK,Thread Group 1-2,text,true,5226,5,5,http://10.10.3.16:8080/escm/login/auth,,3246,EASDB01
2017/02/07 18:20:15.960,58,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-1,text,true,1235,5,5,http://10.10.3.16:8080/escm/css/jquery.alerts.css,,42,EASDB01
2017/02/07 18:20:15.960,62,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-2,text,true,1235,5,5,http://10.10.3.16:8080/escm/css/jquery.alerts.css,,60,EASDB01
2017/02/07 18:20:15.960,65,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-3,text,true,1235,5,5,http://10.10.3.16:8080/escm/css/jquery.alerts.css,,63,EASDB01
2017/02/07 18:20:15.960,68,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-4,text,true,1235,5,5,http://10.10.3.16:8080/escm/css/jquery.alerts.css,,66,EASDB01
2017/02/07 18:20:16.024,57,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-2,text,true,6664,5,5,http://10.10.3.16:8080/escm/css/theme/jquery-ui-1.8.17.custom.css,,52,EASDB01
2017/02/07 18:20:16.021,77,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-1,text,true,6664,5,5,http://10.10.3.16:8080/escm/css/theme/jquery-ui-1.8.17.custom.css,,71,EASDB01
2017/02/07 18:20:15.832,266,62 /escm/login/auth,200,OK,Thread Group 1-5,text,true,5226,5,5,http://10.10.3.16:8080/escm/login/auth,,260,EASDB01
2017/02/07 18:20:16.027,73,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-3,text,true,6664,5,5,http://10.10.3.16:8080/escm/css/theme/jquery-ui-1.8.17.custom.css,,31,EASDB01
2017/02/07 18:20:16.100,5,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-1,,false,109,5,5,http://10.10.3.16:8080/escmnull/css/merchant.css,,5,EASDB01
2017/02/07 18:20:16.083,22,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-2,,false,109,5,5,http://10.10.3.16:8080/escmnull/css/merchant.css,,22,EASDB01
2017/02/07 18:20:16.102,6,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-3,,false,109,5,5,http://10.10.3.16:8080/escmnull/css/merchant.css,,6,EASDB01
2017/02/07 18:20:16.102,13,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-5,text,true,1235,5,5,http://10.10.3.16:8080/escm/css/jquery.alerts.css,,11,EASDB01
2017/02/07 18:20:16.032,85,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-4,text,true,6664,5,5,http://10.10.3.16:8080/escm/css/theme/jquery-ui-1.8.17.custom.css,,75,EASDB01
2017/02/07 18:20:16.119,2,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-4,,false,109,5,5,http://10.10.3.16:8080/escmnull/css/merchant.css,,2,EASDB01
2017/02/07 18:20:16.107,48,72 /escm/js/validator.js,200,OK,Thread Group 1-1,text,true,5286,5,5,http://10.10.3.16:8080/escm/js/validator.js,,43,EASDB01
