Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
62 /escm/login/auth,10,1138,266,3247,3247,3460,122,3460,0.00%,1.3,6.9
67 /escm/css/jquery.alerts.css,10,45,13,68,68,153,8,153,0.00%,1.9,2.3
63 /escm/css/theme/jquery-ui-1.8.17.custom.css,10,58,57,122,122,124,12,124,0.00%,1.9,12.6
68 /escmnull/css/merchant.css,10,26,3,22,22,209,2,209,100.00%,2.0,.2
72 /escm/js/validator.js,10,36,17,63,63,87,10,87,0.00%,2.0,10.1
71 /escm/js/jquery.alerts.js,10,27,11,52,52,67,8,67,0.00%,2.0,5.0
70 /escm/js/jquery-ui-1.8.17.custom.min.js,10,177,65,307,307,560,48,560,0.00%,2.0,102.8
73 /escm/js/jquery.bpopup.min.js,10,37,9,77,77,90,8,90,0.00%,2.1,4.6
66 /escm/css/jquery.ui.timepicker.css,10,12,8,30,30,32,6,32,0.00%,2.1,4.3
69 /escm/js/jquery-1.5.2.min.js,10,248,100,426,426,625,68,625,0.00%,2.1,132.4
64 /escm/css/merchant.css,10,252,103,454,454,540,70,540,0.00%,2.2,140.4
65 /escm/css/logintypedialog.css,10,43,11,38,38,277,7,277,0.00%,2.4,3.1
74 /escm/css/fonts/Roboto-Light.woff,10,19,11,36,36,47,6,47,0.00%,2.6,184.4
75 /escm/css/fonts/Roboto-Bold.woff,10,13,7,27,27,44,6,44,0.00%,2.6,180.2
76 /escm/css/fonts/Roboto-Regular.ttf,10,10,9,15,15,19,7,19,0.00%,2.6,368.9
Login Page Request,10,2148,1118,4911,4911,5125,399,5125,100.00%,1.0,499.0
5 /escm/login/doAuth?id=loginform,10,13824,14042,14494,14494,14543,12451,14543,0.00%,.7,6.0
10 /escm/css/modern_ui/usageGraph/examples.css,10,44,20,92,92,134,6,134,0.00%,4.5,7.0
11 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,10,52,43,72,72,163,5,163,0.00%,4.5,8.3
