Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
62 /escm/login/auth,5,1913,1997,3044,3350,3350,221,3350,0.00%,1.5,7.6
67 /escm/css/jquery.alerts.css,5,44,49,52,55,55,23,55,0.00%,15.2,18.4
63 /escm/css/theme/jquery-ui-1.8.17.custom.css,5,81,63,100,134,134,50,134,0.00%,13.1,85.4
68 /escmnull/css/merchant.css,5,24,19,31,55,55,8,55,100.00%,13.7,1.5
72 /escm/js/validator.js,5,89,101,117,128,128,23,128,0.00%,11.2,57.9
71 /escm/js/jquery.alerts.js,5,24,19,30,42,42,15,42,0.00%,13.6,34.2
70 /escm/js/jquery-ui-1.8.17.custom.min.js,5,314,229,251,726,726,141,726,0.00%,6.8,356.7
73 /escm/js/jquery.bpopup.min.js,5,56,44,47,120,120,29,120,0.00%,7.1,15.8
66 /escm/css/jquery.ui.timepicker.css,5,31,15,35,87,87,9,87,0.00%,7.5,15.2
69 /escm/js/jquery-1.5.2.min.js,5,261,255,297,342,342,191,342,0.00%,5.7,362.5
64 /escm/css/merchant.css,5,325,344,409,486,486,131,486,0.00%,6.3,395.1
65 /escm/css/logintypedialog.css,5,38,43,43,77,77,10,77,0.00%,10.9,13.7
74 /escm/css/fonts/Roboto-Light.woff,5,21,11,15,62,62,9,62,0.00%,11.7,846.4
75 /escm/css/fonts/Roboto-Bold.woff,5,18,17,18,35,35,9,35,0.00%,13.3,929.1
76 /escm/css/fonts/Roboto-Regular.ttf,5,36,28,35,83,83,17,83,0.00%,12.7,1804.3
Login Page Request,5,3281,3379,4469,4636,4636,1359,4636,100.00%,.9,430.9
5 /escm/login/doAuth?id=loginform,5,10609,10599,10624,10664,10664,10576,10664,0.00%,.5,4.1
10 /escm/css/modern_ui/usageGraph/examples.css,5,53,32,93,97,97,18,97,0.00%,45.0,70.2
11 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,5,15,13,17,22,22,12,22,0.00%,52.6,95.9
14 /escm/css/modern_ui/jquery.multiselect.css,5,21,19,28,34,34,9,34,0.00%,48.5,105.9
15 /escm/js/jquery.qtip-1.0.0-rc3.min.js,5,56,43,90,98,98,22,98,0.00%,31.2,305.6
23 /escm/js/jquery-validate/jquery.metadata.js,5,20,15,25,34,34,13,34,0.00%,39.1,73.9
9 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,5,21,21,22,30,30,16,30,0.00%,45.0,58.2
22 /escm/js/slideBlock.js,5,50,48,56,93,93,10,93,0.00%,50.0,56.7
21 /escm/js/clearinput.js,5,22,20,31,34,34,11,34,0.00%,68.5,80.3
13 /escm/css/tablesorter.css,5,38,31,48,82,82,10,82,0.00%,60.2,136.1
24 /escm/js/datatable.js,5,21,28,29,29,29,7,29,0.00%,98.0,153.9
38 /escm/js/jquery.leanModal.min.js,5,33,31,35,44,44,29,44,0.00%,98.0,128.6
40 /escm/js/escm_alert.js,5,52,38,43,113,113,33,113,0.00%,42.4,88.5
25 /escm/js/jquery.ba-dotimeout.min.js,5,30,30,33,49,49,8,49,0.00%,56.8,76.7
18 /escm/js/main.js,5,37,38,41,52,52,21,52,0.00%,71.4,207.0
19 /escm/js/jquery-validate/additional-methods.min.js,5,25,22,32,46,46,13,46,0.00%,82.0,220.4
46 /escm/js/payment/jquery.tzCheckbox.js,5,28,26,32,56,56,13,56,0.00%,89.3,142.6
12 /escm/css/payment/jquery.tzCheckbox.css,5,34,33,34,49,49,28,49,0.00%,98.0,108.2
31 /escm/js/usageGraphJS/jqplot.canvasTextRenderer.min.js,5,105,58,106,285,285,34,285,0.00%,17.1,68.8
41 /escm/js/jquery.flexslider.js,5,41,42,46,52,52,27,52,0.00%,16.3,195.4
33 /escm/js/usageGraphJS/excanvas.min.js,5,25,21,32,38,38,15,38,0.00%,17.5,139.5
42 /escm/js/usageGraphJS/jqplot.pointLabels.min.js,5,19,14,16,43,43,12,43,0.00%,16.3,31.6
37 /escm/js/jquery.slimscroll.min.js,5,33,35,37,41,41,20,41,0.00%,15.8,33.1
30 /escm/js/usageGraphJS/jqplot.canvasAxisLabelRenderer.min.js,5,17,15,18,24,24,14,24,0.00%,16.7,21.2
34 /escm/js/placeholders.min.js,5,49,36,69,77,77,33,77,0.00%,14.2,27.3
26 /escm/js/usageGraphJS/jqplot.canvasAxisTickRenderer.min.js,5,28,16,35,70,70,10,70,0.00%,14.9,21.4
