timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
2017/02/15 18:39:56.942,305,62 /escm/login/auth,200,OK,Thread Group 1-2,text,true,5226,2,2,http://10.10.3.16:8080/escm/login/auth,,304,EASDB01
2017/02/15 18:39:56.764,483,62 /escm/login/auth,200,OK,Thread Group 1-1,text,true,5226,2,2,http://10.10.3.16:8080/escm/login/auth,,482,EASDB01
2017/02/15 18:39:57.263,9,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-2,text,true,1235,2,2,http://10.10.3.16:8080/escm/css/jquery.alerts.css,,9,EASDB01
2017/02/15 18:39:57.263,11,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-1,text,true,1235,2,2,http://10.10.3.16:8080/escm/css/jquery.alerts.css,,11,EASDB01
2017/02/15 18:39:57.277,9,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-1,text,true,6664,2,2,http://10.10.3.16:8080/escm/css/theme/jquery-ui-1.8.17.custom.css,,8,EASDB01
2017/02/15 18:39:57.276,13,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-2,text,true,6664,2,2,http://10.10.3.16:8080/escm/css/theme/jquery-ui-1.8.17.custom.css,,10,EASDB01
2017/02/15 18:39:57.288,4,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-1,,false,109,2,2,http://10.10.3.16:8080/escmnull/css/merchant.css,,4,EASDB01
2017/02/15 18:39:57.291,2,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-2,,false,109,2,2,http://10.10.3.16:8080/escmnull/css/merchant.css,,2,EASDB01
2017/02/15 18:39:57.294,8,72 /escm/js/validator.js,200,OK,Thread Group 1-1,text,true,5286,2,2,http://10.10.3.16:8080/escm/js/validator.js,,7,EASDB01
2017/02/15 18:39:57.295,11,72 /escm/js/validator.js,200,OK,Thread Group 1-2,text,true,5286,2,2,http://10.10.3.16:8080/escm/js/validator.js,,9,EASDB01
2017/02/15 18:39:57.304,7,71 /escm/js/jquery.alerts.js,200,OK,Thread Group 1-1,text,true,2581,2,2,http://10.10.3.16:8080/escm/js/jquery.alerts.js,,6,EASDB01
2017/02/15 18:39:57.308,4,71 /escm/js/jquery.alerts.js,200,OK,Thread Group 1-2,text,true,2581,2,2,http://10.10.3.16:8080/escm/js/jquery.alerts.js,,4,EASDB01
2017/02/15 18:39:57.313,56,70 /escm/js/jquery-ui-1.8.17.custom.min.js,200,OK,Thread Group 1-1,text,true,53407,2,2,http://10.10.3.16:8080/escm/js/jquery-ui-1.8.17.custom.min.js,,22,EASDB01
2017/02/15 18:39:57.371,6,73 /escm/js/jquery.bpopup.min.js,200,OK,Thread Group 1-1,text,true,2280,2,2,http://10.10.3.16:8080/escm/js/jquery.bpopup.min.js,,6,EASDB01
2017/02/15 18:39:57.314,65,70 /escm/js/jquery-ui-1.8.17.custom.min.js,200,OK,Thread Group 1-2,text,true,53407,2,2,http://10.10.3.16:8080/escm/js/jquery-ui-1.8.17.custom.min.js,,30,EASDB01
2017/02/15 18:39:57.381,11,73 /escm/js/jquery.bpopup.min.js,200,OK,Thread Group 1-2,text,true,2280,2,2,http://10.10.3.16:8080/escm/js/jquery.bpopup.min.js,,11,EASDB01
2017/02/15 18:39:57.379,17,66 /escm/css/jquery.ui.timepicker.css,200,OK,Thread Group 1-1,text,true,2086,2,2,http://10.10.3.16:8080/escm/css/jquery.ui.timepicker.css,,16,EASDB01
2017/02/15 18:39:57.394,9,66 /escm/css/jquery.ui.timepicker.css,200,OK,Thread Group 1-2,text,true,2086,2,2,http://10.10.3.16:8080/escm/css/jquery.ui.timepicker.css,,9,EASDB01
2017/02/15 18:39:57.397,73,69 /escm/js/jquery-1.5.2.min.js,200,OK,Thread Group 1-1,text,true,65186,2,2,http://10.10.3.16:8080/escm/js/jquery-1.5.2.min.js,,27,EASDB01
2017/02/15 18:39:57.405,74,69 /escm/js/jquery-1.5.2.min.js,200,OK,Thread Group 1-2,text,true,65186,2,2,http://10.10.3.16:8080/escm/js/jquery-1.5.2.min.js,,23,EASDB01
2017/02/15 18:39:57.472,68,64 /escm/css/merchant.css,200,OK,Thread Group 1-1,text,true,64167,2,2,http://10.10.3.16:8080/escm/css/merchant.css,,28,EASDB01
2017/02/15 18:39:57.542,11,65 /escm/css/logintypedialog.css,200,OK,Thread Group 1-1,text,true,1287,2,2,http://10.10.3.16:8080/escm/css/logintypedialog.css,,10,EASDB01
2017/02/15 18:39:57.555,10,74 /escm/css/fonts/Roboto-Light.woff,200,OK,Thread Group 1-1,text,true,73848,2,2,http://10.10.3.16:8080/escm/css/fonts/Roboto-Light.woff,,7,EASDB01
2017/02/15 18:39:57.482,84,64 /escm/css/merchant.css,200,OK,Thread Group 1-2,text,true,64167,2,2,http://10.10.3.16:8080/escm/css/merchant.css,,30,EASDB01
2017/02/15 18:39:57.568,5,65 /escm/css/logintypedialog.css,200,OK,Thread Group 1-2,text,true,1287,2,2,http://10.10.3.16:8080/escm/css/logintypedialog.css,,4,EASDB01
2017/02/15 18:39:57.567,6,75 /escm/css/fonts/Roboto-Bold.woff,200,OK,Thread Group 1-1,text,true,71736,2,2,http://10.10.3.16:8080/escm/css/fonts/Roboto-Bold.woff,,5,EASDB01
2017/02/15 18:39:57.575,5,74 /escm/css/fonts/Roboto-Light.woff,200,OK,Thread Group 1-2,text,true,73848,2,2,http://10.10.3.16:8080/escm/css/fonts/Roboto-Light.woff,,4,EASDB01
2017/02/15 18:39:57.575,6,76 /escm/css/fonts/Roboto-Regular.ttf,200,OK,Thread Group 1-1,text,true,145593,2,2,http://10.10.3.16:8080/escm/css/fonts/Roboto-Regular.ttf,,5,EASDB01
2017/02/15 18:39:55.886,775,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-1,,false,500691,2,2,null,,644,EASDB01
2017/02/15 18:39:57.582,4,75 /escm/css/fonts/Roboto-Bold.woff,200,OK,Thread Group 1-2,text,true,71736,2,2,http://10.10.3.16:8080/escm/css/fonts/Roboto-Bold.woff,,4,EASDB01
2017/02/15 18:39:57.588,5,76 /escm/css/fonts/Roboto-Regular.ttf,200,OK,Thread Group 1-2,text,true,145593,2,2,http://10.10.3.16:8080/escm/css/fonts/Roboto-Regular.ttf,,4,EASDB01
2017/02/15 18:39:56.921,606,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-2,,false,500691,2,2,null,,457,EASDB01
2017/02/15 18:39:57.988,41,62 /escm/login/auth,200,OK,Thread Group 1-3,text,true,5226,3,3,http://10.10.3.16:8080/escm/login/auth,,38,EASDB01
2017/02/15 18:39:58.031,4,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-3,text,true,1235,3,3,http://10.10.3.16:8080/escm/css/jquery.alerts.css,,4,EASDB01
2017/02/15 18:39:58.037,8,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-3,text,true,6664,3,3,http://10.10.3.16:8080/escm/css/theme/jquery-ui-1.8.17.custom.css,,6,EASDB01
2017/02/15 18:39:58.047,2,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-3,,false,109,3,3,http://10.10.3.16:8080/escmnull/css/merchant.css,,2,EASDB01
2017/02/15 18:39:58.051,9,72 /escm/js/validator.js,200,OK,Thread Group 1-3,text,true,5286,3,3,http://10.10.3.16:8080/escm/js/validator.js,,6,EASDB01
2017/02/15 18:39:58.062,6,71 /escm/js/jquery.alerts.js,200,OK,Thread Group 1-3,text,true,2581,3,3,http://10.10.3.16:8080/escm/js/jquery.alerts.js,,4,EASDB01
2017/02/15 18:39:58.070,56,70 /escm/js/jquery-ui-1.8.17.custom.min.js,200,OK,Thread Group 1-3,text,true,53407,3,3,http://10.10.3.16:8080/escm/js/jquery-ui-1.8.17.custom.min.js,,21,EASDB01
2017/02/15 18:39:58.128,5,73 /escm/js/jquery.bpopup.min.js,200,OK,Thread Group 1-3,text,true,2280,3,3,http://10.10.3.16:8080/escm/js/jquery.bpopup.min.js,,4,EASDB01
2017/02/15 18:39:58.135,3,66 /escm/css/jquery.ui.timepicker.css,200,OK,Thread Group 1-3,text,true,2086,3,3,http://10.10.3.16:8080/escm/css/jquery.ui.timepicker.css,,3,EASDB01
2017/02/15 18:39:58.140,71,69 /escm/js/jquery-1.5.2.min.js,200,OK,Thread Group 1-3,text,true,65186,3,3,http://10.10.3.16:8080/escm/js/jquery-1.5.2.min.js,,25,EASDB01
2017/02/15 18:39:58.213,81,64 /escm/css/merchant.css,200,OK,Thread Group 1-3,text,true,64167,3,3,http://10.10.3.16:8080/escm/css/merchant.css,,27,EASDB01
2017/02/15 18:39:58.296,4,65 /escm/css/logintypedialog.css,200,OK,Thread Group 1-3,text,true,1287,3,3,http://10.10.3.16:8080/escm/css/logintypedialog.css,,3,EASDB01
2017/02/15 18:39:58.302,4,74 /escm/css/fonts/Roboto-Light.woff,200,OK,Thread Group 1-3,text,true,73848,3,3,http://10.10.3.16:8080/escm/css/fonts/Roboto-Light.woff,,3,EASDB01
2017/02/15 18:39:58.307,8,75 /escm/css/fonts/Roboto-Bold.woff,200,OK,Thread Group 1-3,text,true,71736,3,3,http://10.10.3.16:8080/escm/css/fonts/Roboto-Bold.woff,,7,EASDB01
2017/02/15 18:39:58.317,6,76 /escm/css/fonts/Roboto-Regular.ttf,200,OK,Thread Group 1-3,text,true,145593,3,3,http://10.10.3.16:8080/escm/css/fonts/Roboto-Regular.ttf,,3,EASDB01
2017/02/15 18:39:57.971,308,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-3,,false,500691,3,3,null,,156,EASDB01
2017/02/15 18:39:59.029,42,62 /escm/login/auth,200,OK,Thread Group 1-4,text,true,5226,4,4,http://10.10.3.16:8080/escm/login/auth,,40,EASDB01
2017/02/15 18:39:59.073,5,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-4,text,true,1235,4,4,http://10.10.3.16:8080/escm/css/jquery.alerts.css,,4,EASDB01
2017/02/15 18:39:59.079,10,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-4,text,true,6664,4,4,http://10.10.3.16:8080/escm/css/theme/jquery-ui-1.8.17.custom.css,,7,EASDB01
2017/02/15 18:39:59.091,2,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-4,,false,109,4,4,http://10.10.3.16:8080/escmnull/css/merchant.css,,2,EASDB01
2017/02/15 18:39:59.095,8,72 /escm/js/validator.js,200,OK,Thread Group 1-4,text,true,5286,4,4,http://10.10.3.16:8080/escm/js/validator.js,,6,EASDB01
2017/02/15 18:39:59.105,5,71 /escm/js/jquery.alerts.js,200,OK,Thread Group 1-4,text,true,2581,4,4,http://10.10.3.16:8080/escm/js/jquery.alerts.js,,4,EASDB01
2017/02/15 18:39:59.112,46,70 /escm/js/jquery-ui-1.8.17.custom.min.js,200,OK,Thread Group 1-4,text,true,53407,4,4,http://10.10.3.16:8080/escm/js/jquery-ui-1.8.17.custom.min.js,,19,EASDB01
2017/02/15 18:39:59.159,5,73 /escm/js/jquery.bpopup.min.js,200,OK,Thread Group 1-4,text,true,2280,4,4,http://10.10.3.16:8080/escm/js/jquery.bpopup.min.js,,4,EASDB01
2017/02/15 18:39:59.165,4,66 /escm/css/jquery.ui.timepicker.css,200,OK,Thread Group 1-4,text,true,2086,4,4,http://10.10.3.16:8080/escm/css/jquery.ui.timepicker.css,,3,EASDB01
2017/02/15 18:39:59.170,66,69 /escm/js/jquery-1.5.2.min.js,200,OK,Thread Group 1-4,text,true,65186,4,4,http://10.10.3.16:8080/escm/js/jquery-1.5.2.min.js,,23,EASDB01
2017/02/15 18:39:59.247,69,64 /escm/css/merchant.css,200,OK,Thread Group 1-4,text,true,64167,4,4,http://10.10.3.16:8080/escm/css/merchant.css,,26,EASDB01
2017/02/15 18:39:59.317,5,65 /escm/css/logintypedialog.css,200,OK,Thread Group 1-4,text,true,1287,4,4,http://10.10.3.16:8080/escm/css/logintypedialog.css,,4,EASDB01
2017/02/15 18:39:59.324,3,74 /escm/css/fonts/Roboto-Light.woff,200,OK,Thread Group 1-4,text,true,73848,4,4,http://10.10.3.16:8080/escm/css/fonts/Roboto-Light.woff,,3,EASDB01
2017/02/15 18:39:59.329,4,75 /escm/css/fonts/Roboto-Bold.woff,200,OK,Thread Group 1-4,text,true,71736,4,4,http://10.10.3.16:8080/escm/css/fonts/Roboto-Bold.woff,,3,EASDB01
2017/02/15 18:39:59.334,5,76 /escm/css/fonts/Roboto-Regular.ttf,200,OK,Thread Group 1-4,text,true,145593,4,4,http://10.10.3.16:8080/escm/css/fonts/Roboto-Regular.ttf,,4,EASDB01
