Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
62 /escm/login/auth,21,92,52,206,305,483,36,483,0.00%,1.1,5.4
67 /escm/css/jquery.alerts.css,21,5,5,10,11,14,3,14,0.00%,1.1,1.3
63 /escm/css/theme/jquery-ui-1.8.17.custom.css,21,11,10,15,15,19,8,19,0.00%,1.1,7.1
68 /escmnull/css/merchant.css,21,2,2,3,3,4,1,4,100.00%,1.1,.1
72 /escm/js/validator.js,21,9,8,11,13,13,7,13,0.00%,1.1,5.6
71 /escm/js/jquery.alerts.js,21,6,6,9,10,10,4,10,0.00%,1.1,2.8
70 /escm/js/jquery-ui-1.8.17.custom.min.js,21,57,57,65,67,76,46,76,0.00%,1.1,56.7
73 /escm/js/jquery.bpopup.min.js,21,6,6,9,10,11,5,11,0.00%,1.1,2.4
66 /escm/css/jquery.ui.timepicker.css,21,4,4,6,9,17,3,17,0.00%,1.1,2.2
69 /escm/js/jquery-1.5.2.min.js,21,76,74,82,90,92,66,92,0.00%,1.1,69.2
64 /escm/css/merchant.css,21,80,80,90,91,95,68,95,0.00%,1.1,68.0
65 /escm/css/logintypedialog.css,21,5,6,7,7,11,4,11,0.00%,1.1,1.4
74 /escm/css/fonts/Roboto-Light.woff,21,5,5,8,10,10,3,10,0.00%,1.1,78.5
75 /escm/css/fonts/Roboto-Bold.woff,21,4,4,6,6,8,3,8,0.00%,1.1,76.3
76 /escm/css/fonts/Roboto-Regular.ttf,21,6,5,8,10,11,4,11,0.00%,1.1,154.8
Login Page Request,21,374,337,492,606,775,279,775,100.00%,1.0,490.7
5 /escm/login/doAuth?id=loginform,21,6901,6713,8751,9561,11388,4000,11388,0.00%,1.7,17.0
10 /escm/css/modern_ui/usageGraph/examples.css,21,22,14,49,61,67,7,67,0.00%,2.8,4.4
11 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,21,29,21,78,100,113,4,113,0.00%,2.8,5.0
14 /escm/css/modern_ui/jquery.multiselect.css,21,17,9,26,89,91,3,91,0.00%,2.8,6.0
15 /escm/js/jquery.qtip-1.0.0-rc3.min.js,21,26,20,51,53,70,9,70,0.00%,2.8,27.0
23 /escm/js/jquery-validate/jquery.metadata.js,21,22,12,53,76,94,6,94,0.00%,2.8,5.2
9 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,21,17,12,48,50,62,4,62,0.00%,2.8,3.6
22 /escm/js/slideBlock.js,21,16,13,32,34,61,4,61,0.00%,2.8,3.1
21 /escm/js/clearinput.js,21,19,11,36,54,101,5,101,0.00%,2.8,3.2
13 /escm/css/tablesorter.css,21,14,10,21,28,94,4,94,0.00%,2.8,6.2
