Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
62 /escm/login/auth,22,139,99,242,290,511,80,511,0.00%,1.1,5.4
67 /escm/css/jquery.alerts.css,22,8,7,11,17,21,6,21,0.00%,1.1,1.3
63 /escm/css/theme/jquery-ui-1.8.17.custom.css,22,13,12,17,18,28,10,28,0.00%,1.1,7.0
68 /escmnull/css/merchant.css,22,2,2,3,3,5,1,5,100.00%,1.1,.1
72 /escm/js/validator.js,22,11,10,14,17,28,9,28,0.00%,1.1,5.6
71 /escm/js/jquery.alerts.js,22,8,8,10,12,13,6,13,0.00%,1.1,2.7
70 /escm/js/jquery-ui-1.8.17.custom.min.js,22,59,54,77,84,92,45,92,0.00%,1.1,56.1
73 /escm/js/jquery.bpopup.min.js,22,8,7,9,11,17,6,17,0.00%,1.1,2.4
66 /escm/css/jquery.ui.timepicker.css,22,6,6,7,11,19,5,19,0.00%,1.1,2.2
69 /escm/js/jquery-1.5.2.min.js,22,85,80,112,115,143,65,143,0.00%,1.1,68.6
64 /escm/css/merchant.css,22,83,75,109,116,118,66,118,0.00%,1.1,67.6
65 /escm/css/logintypedialog.css,22,7,7,9,9,13,6,13,0.00%,1.1,1.4
74 /escm/css/fonts/Roboto-Light.woff,22,6,6,7,7,10,5,10,0.00%,1.1,78.3
75 /escm/css/fonts/Roboto-Bold.woff,22,6,6,8,8,9,5,9,0.00%,1.1,76.1
76 /escm/css/fonts/Roboto-Regular.ttf,22,7,7,9,11,12,5,12,0.00%,1.1,154.4
Login Page Request,22,453,403,543,751,973,339,973,100.00%,1.0,487.3
5 /escm/login/doAuth?id=loginform,22,18546,20286,20621,20632,20662,56,20662,9.09%,1.1,9.0
10 /escm/css/modern_ui/usageGraph/examples.css,22,88,26,201,485,517,7,517,0.00%,1.1,1.7
11 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,22,81,21,409,446,469,7,469,0.00%,1.1,1.9
14 /escm/css/modern_ui/jquery.multiselect.css,22,33,19,90,91,113,8,113,0.00%,1.1,2.3
15 /escm/js/jquery.qtip-1.0.0-rc3.min.js,22,341,63,1029,1097,1850,22,1850,0.00%,1.0,9.8
23 /escm/js/jquery-validate/jquery.metadata.js,22,35,17,70,84,286,6,286,0.00%,1.0,1.9
9 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,22,17,16,28,30,31,7,31,0.00%,1.0,1.3
22 /escm/js/slideBlock.js,22,25,15,53,68,101,8,101,0.00%,1.0,1.1
21 /escm/js/clearinput.js,22,57,16,45,385,478,7,478,0.00%,1.0,1.2
13 /escm/css/tablesorter.css,22,16,15,19,26,41,8,41,0.00%,1.0,2.3
24 /escm/js/datatable.js,22,53,13,81,204,538,5,538,0.00%,1.0,1.6
38 /escm/js/jquery.leanModal.min.js,22,25,15,48,66,103,7,103,0.00%,1.0,1.3
40 /escm/js/escm_alert.js,22,23,20,36,42,62,11,62,0.00%,1.0,2.1
25 /escm/js/jquery.ba-dotimeout.min.js,22,29,16,59,99,147,10,147,0.00%,1.0,1.4
18 /escm/js/main.js,22,31,18,44,62,176,9,176,0.00%,1.0,2.9
19 /escm/js/jquery-validate/additional-methods.min.js,22,19,16,36,39,41,8,41,0.00%,1.0,2.7
46 /escm/js/payment/jquery.tzCheckbox.js,22,78,15,247,432,725,9,725,0.00%,1.0,1.6
12 /escm/css/payment/jquery.tzCheckbox.css,22,31,21,41,53,223,9,223,0.00%,1.0,1.1
31 /escm/js/usageGraphJS/jqplot.canvasTextRenderer.min.js,22,32,28,50,63,144,7,144,0.00%,1.0,4.0
41 /escm/js/jquery.flexslider.js,22,60,28,55,138,527,15,527,0.00%,1.0,11.9
33 /escm/js/usageGraphJS/excanvas.min.js,22,29,23,53,56,74,11,74,0.00%,1.0,7.9
42 /escm/js/usageGraphJS/jqplot.pointLabels.min.js,22,29,19,59,61,112,9,112,0.00%,1.0,1.9
37 /escm/js/jquery.slimscroll.min.js,22,25,18,33,36,109,8,109,0.00%,1.0,2.1
30 /escm/js/usageGraphJS/jqplot.canvasAxisLabelRenderer.min.js,22,27,23,52,53,77,7,77,0.00%,1.0,1.3
