Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
62 /escm/login/auth,5,283,179,322,583,583,161,583,0.00%,1.4,7.2
67 /escm/css/jquery.alerts.css,5,14,13,18,19,19,11,19,0.00%,1.7,2.0
63 /escm/css/theme/jquery-ui-1.8.17.custom.css,5,20,20,21,22,22,19,22,0.00%,1.7,11.0
68 /escmnull/css/merchant.css,5,29,4,5,132,132,2,132,100.00%,1.6,.2
72 /escm/js/validator.js,5,17,16,19,23,23,13,23,0.00%,1.6,8.4
71 /escm/js/jquery.alerts.js,5,16,13,14,31,31,12,31,0.00%,1.6,4.1
70 /escm/js/jquery-ui-1.8.17.custom.min.js,5,107,102,107,151,151,77,151,0.00%,1.5,80.8
73 /escm/js/jquery.bpopup.min.js,5,12,14,14,14,14,8,14,0.00%,1.6,3.6
66 /escm/css/jquery.ui.timepicker.css,5,7,8,8,10,10,6,10,0.00%,1.6,3.3
69 /escm/js/jquery-1.5.2.min.js,5,132,139,140,160,160,107,160,0.00%,1.5,97.4
64 /escm/css/merchant.css,5,138,128,133,201,201,103,201,0.00%,1.5,93.6
65 /escm/css/logintypedialog.css,5,18,11,12,49,49,8,49,0.00%,1.5,1.9
74 /escm/css/fonts/Roboto-Light.woff,5,20,19,26,28,28,13,28,0.00%,1.5,110.3
75 /escm/css/fonts/Roboto-Bold.woff,5,11,11,14,17,17,7,17,0.00%,1.5,107.9
76 /escm/css/fonts/Roboto-Regular.ttf,5,9,9,10,12,12,8,12,0.00%,1.5,219.1
Login Page Request,5,838,830,987,1106,1106,607,1106,100.00%,1.0,477.8
5 /escm/login/doAuth?id=loginform,5,8929,9127,10172,10280,10280,6928,10280,0.00%,.5,4.3
10 /escm/css/modern_ui/usageGraph/examples.css,5,36,18,69,76,76,10,76,0.00%,14.9,23.3
11 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,5,21,16,27,44,44,9,44,0.00%,18.5,33.6
14 /escm/css/modern_ui/jquery.multiselect.css,5,14,11,20,25,25,7,25,0.00%,19.6,42.8
15 /escm/js/jquery.qtip-1.0.0-rc3.min.js,5,33,31,43,49,49,21,49,0.00%,20.0,195.6
23 /escm/js/jquery-validate/jquery.metadata.js,5,21,20,28,40,40,7,40,0.00%,23.9,45.3
9 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,5,17,18,24,26,26,7,26,0.00%,26.6,34.4
